Sex	WeightClassKg	Best3SquatKg	Best3BenchKg	Best3DeadliftKg	Country	Date
M	125	62.5	62.5	270	USA	11/1/08
M	125	175	120	215	USA	11/1/08
M	140	282.5	190	300	USA	11/1/08
M	140	282.5	190	300	USA	11/1/08
M	140+	235	160	277.5	USA	11/1/08
M	140+	230	147.5	220	USA	11/1/08
M	140+	230	147.5	220	USA	11/1/08
F	44.5	60	40	82.5	USA	10/2/10
F	48	50	37.5	93.5	USA	10/2/10
F	52	82.5	52.5	125	Canada	10/2/10
F	56	102.5	80	125	USA	10/2/10
M	56	112.5	92.5	165	USA	10/2/10
F	60	95	70	115	USA	10/2/10
M	60	65	45	95	USA	10/2/10
F	67.5	100	85	135	USA	10/2/10
F	67.5	97.5	59	132.5	USA	10/2/10
F	67.5	102.5	48.5	137	USA	10/2/10
F	44.5	60	40	82.5	USA	10/2/10
F	48	50	37.5	93.5	USA	10/2/10
F	52	82.5	52.5	125	Canada	10/2/10
F	56	102.5	80	125	USA	10/2/10
M	56	112.5	92.5	165	USA	10/2/10
F	60	95	70	115	USA	10/2/10
M	60	65	45	95	USA	10/2/10
F	67.5	100	85	135	USA	10/2/10
F	67.5	97.5	59	132.5	USA	10/2/10
F	67.5	102.5	48.5	137	USA	10/2/10
M	67.5	135	82.5	170	USA	10/2/10
M	67.5	142.5	137.5	220	USA	10/2/10
M	67.5	160	100	207.5	USA	10/2/10
M	67.5	102.5	85	140	USA	10/2/10
M	67.5	115	95	40	USA	10/2/10
M	67.5	142.5	137.5	220	USA	10/2/10
M	67.5	160	100	207.5	USA	10/2/10
M	67.5	102.5	85	140	USA	10/2/10
M	67.5	115	95	40	USA	10/2/10
M	75	115	92.5	157.5	USA	10/2/10
M	75	201.5	133.5	255	USA	10/2/10
M	75	201.5	133.5	255	USA	10/2/10
M	75	202.5	117.5	217.5	USA	10/2/10
M	75	157.5	120	215	USA	10/2/10
M	75	137.5	110	200	USA	10/2/10
M	75	137.5	110	160	USA	10/2/10
M	75	127.5	105	145	USA	10/2/10
M	75	105	95	155	USA	10/2/10
M	75	97.5	107.5	142.5	USA	10/2/10
M	75	201.5	133.5	255	USA	10/2/10
M	75	202.5	117.5	217.5	USA	10/2/10
M	75	157.5	120	215	USA	10/2/10
M	75	137.5	110	200	USA	10/2/10
M	75	137.5	110	160	USA	10/2/10
M	75	127.5	105	145	USA	10/2/10
M	75	105	95	155	USA	10/2/10
M	75	97.5	107.5	142.5	USA	10/2/10
M	82.5	150	120	165	USA	10/2/10
M	82.5	145	130	170	Canada	10/2/10
M	82.5	207.5	130	277.5	USA	10/2/10
M	82.5	207.5	130	277.5	USA	10/2/10
M	82.5	207.5	132.5	265	USA	10/2/10
M	82.5	192.5	112.5	235	USA	10/2/10
M	82.5	157.5	132.5	225	USA	10/2/10
M	82.5	135	127.5	167.5	USA	10/2/10
M	82.5	207.5	130	277.5	USA	10/2/10
M	82.5	207.5	132.5	265	USA	10/2/10
M	82.5	192.5	112.5	235	USA	10/2/10
M	82.5	157.5	132.5	225	USA	10/2/10
M	82.5	135	127.5	167.5	USA	10/2/10
F	90	97.5	67.5	122.5	Canada	10/2/10
M	90	210	160	227.5	USA	10/2/10
M	90	217.5	153.5	300	USA	10/2/10
M	90	217.5	153.5	300	USA	10/2/10
M	90	217.5	155	250	USA	10/2/10
M	90	215	147.5	232.5	Canada	10/2/10
M	90	152.5	137.5	210	USA	10/2/10
M	90	167.5	97.5	220	USA	10/2/10
M	90	172.5	120	190	USA	10/2/10
M	90	122.5	90	160	USA	10/2/10
M	90	117.5	100	155	USA	10/2/10
M	90	217.5	153.5	300	USA	10/2/10
M	90	217.5	155	250	USA	10/2/10
M	90	215	147.5	232.5	Canada	10/2/10
M	90	152.5	137.5	210	USA	10/2/10
M	90	167.5	97.5	220	USA	10/2/10
M	90	172.5	120	190	USA	10/2/10
M	90	122.5	90	160	USA	10/2/10
M	90	117.5	100	155	USA	10/2/10
M	90	20	185	100	USA	10/2/10
M	100	142.5	100	187.5	Canada	10/2/10
M	100	122.5	77.5	147.5	USA	10/2/10
