c,Sex,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,Country,Date
Nikolai Domratchev,M,110.3,125,192.5,135,210,Russia,8/5/03
Ralph Sample,M,89.3,90,175,120,240,England,8/5/03
Nick Sinardi,M,90.8,100,200,92.5,230,USA,8/5/03
Kris Scheppe,M,51.3,52,85,70,137.5,USA,8/5/03
Rasool Asadzadeh,M,52.4,56,90,85,110,Iran,8/5/03
Michal Rokůsek,M,73.5,75,120,65,140,Czechia,8/5/03
Serguei Chatalov,M,81.4,82.5,250,157.5,250,Russia,8/5/03
Adam Bury,M,86.5,90,177.5,127.5,207.5,Canada,8/5/03
Oldřich Šmejcký,M,93.1,100,145,115,215,Czechia,8/5/03
Tim Ekert,M,107.7,110,207.5,180,225,Canada,8/5/03
Silvia Alba,F,51,52,85,42.5,120,Spain,8/5/03
Petra Duskova,F,55.5,56,55,40,90,Czechia,8/5/03
Katy Todd,F,41.5,44,35,30,75,USA,8/5/03
Tatiana Briceno,F,63.8,67.5,127.5,80,130,Venezuela,8/5/03
Radka Houšková,F,73.6,75,80,52.5,110,Czechia,8/5/03
Asya Miller,F,84.9,90,107.5,57.5,145,USA,8/5/03
Katherine Gauthier,F,99.8,90+,130,60,125,Canada,8/5/03
Olga Chaikovska,F,47.9,48,92.5,60,110,Ukraine,10/18/10
Larisa Malyshkina,F,47.4,48,92.5,52.5,87.5,Russia,10/18/10
Sevda Kalafat,F,45.4,48,50,30,75,Turkey,10/18/10
Marina Ermakova,F,51.6,52,90,60,117.5,Russia,10/18/10
Olena Mazurova,F,49.9,52,100,60,105,Ukraine,10/18/10
Dondu Kanat,F,51.9,52,75,50,100,Turkey,10/18/10
Yesim Erman,F,48.1,52,37.5,25,70,Turkey,10/18/10
Vasylysa Kozyreva,F,53.1,56,100,70,130,Ukraine,10/18/10
Meltem Tirikli,F,55.6,56,80,55,110,Turkey,10/18/10
Nadezda Burmak,F,55.3,56,82.5,40,82.5,Russia,10/18/10
Evgenia Tsakhilova,F,59.6,60,140,80,125,Russia,10/18/10
Halyna Halinska,F,57.6,60,125,60,140,Ukraine,10/18/10
Ayse Guill,F,57.2,60,80,35,95,Turkey,10/18/10
Elena Korotkova,F,66.8,67.5,130,70,130,Russia,10/18/10
Ayten Ozturk,F,67.1,67.5,100,60,150,Turkey,10/18/10
Bircan Simsek,F,60.6,67.5,60,40,80,Turkey,10/18/10
Svetlana Akhmetova,F,74,75,130,80,135,Russia,10/18/10
Vanessa Murby,F,82,82.5,137.5,66,166,Japan,10/18/10
Fatma Dari,F,78.3,82.5,75,55,120,Turkey,10/18/10
Sevim Kaya,F,97.4,90+,80,45,115,Turkey,10/18/10
Olena Mazurova,F,49.9,52,100,60,105,Ukraine,10/18/10
Marina Ermakova,F,51.6,52,90,60,117.5,Russia,10/18/10
Sevda Kalafat,F,45.4,48,50,30,75,Turkey,10/18/10
Evgenia Tsakhilova,F,59.6,60,140,80,125,Russia,10/18/10
Vasylysa Kozyreva,F,53.1,56,100,70,130,Ukraine,10/18/10
Nadezda Burmak,F,55.3,56,82.5,40,82.5,Russia,10/18/10
Bircan Simsek,F,60.6,67.5,60,40,80,Turkey,10/18/10
Halyna Halinska,F,57.6,60,125,60,140,Ukraine,10/18/10
Svetlana Akhmetova,F,74,75,130,80,135,Russia,10/18/10
Sajjad Khaledan,M,55.8,56,200,125,190,Iran,10/18/10
Javad Ghane,M,54.4,56,170,115,185,Iran,10/18/10
Serhat Us,M,54.4,56,180,95,185,Turkey,10/18/10
Volodymyr Dranyy,M,55.3,56,150,100,200,Ukraine,10/18/10
Evgen Babenko,M,59,60,190,115,205,Ukraine,10/18/10
Hojat Hamidi Kizhdehi,M,59,60,187.5,110,200,Iran,10/18/10
Pavel Pokrovsky,M,59.5,60,170,120,175,Russia,10/18/10
Roberto Souza,M,59,60,145,105,195,Brazil,10/18/10
Murat Yildirim,M,58.3,60,120,80,160,Turkey,10/18/10
Lokman Artan,M,58.7,60,100,90,130,Turkey,10/18/10
Roman Kurov,M,67,67.5,240,147.5,245,Ukraine,10/18/10
Seyed Hadi Hosseini Pirkoohi,M,65.7,67.5,230,135,202.5,Iran,10/18/10
Evgeny Golovko,M,67.3,67.5,205,155,185,Russia,10/18/10
Iurii Romaniuk,M,66.5,67.5,185,130,220,Ukraine,10/18/10
Mehmet Kaymakoglu,M,66.8,67.5,172.5,107.5,205,Turkey,10/18/10
Hector Pava,M,65.2,67.5,165,90,180,Venezuela,10/18/10
Senani Ekici,M,66.5,67.5,140,97.5,170,Turkey,10/18/10
Bin Mongijal Muhammad Yusuf,M,64.9,67.5,130,90,160,Malaysia,10/18/10
Mehdi Baharzadeh,M,74.6,75,225,162.5,240,Iran,10/18/10
Roman Nabukhotnyy,M,74.4,75,237.5,167.5,210,Ukraine,10/18/10
Vadym Grechko,M,71.5,75,242.5,135,232.5,Ukraine,10/18/10
Ömer Galip Kesim,M,73.1,75,185,130,250,Turkey,10/18/10
Hamid Pakbaz,M,79.8,82.5,255,145,262.5,Iran,10/18/10
Mohammad Soleimani,M,81.6,82.5,220,170,267.5,Iran,10/18/10
Anatoliy Hrechko,M,81.6,82.5,240,145,240,Ukraine,10/18/10
Viktor Drovosekov,M,80.8,82.5,180,125,240,Russia,10/18/10
Angel Rojas,M,80.3,82.5,220,105,192.5,Venezuela,10/18/10
Oktay Kirlangic M,M,77.7,82.5,180,100,190,Turkey,10/18/10
Sergey Shatalov,M,89.9,90,300,215,275,Russia,10/18/10
Ricardo Olivera,M,89.2,90,270,145,240,Brazil,10/18/10
Dmytro Grytsaienko,M,82.7,90,210,157.5,240,Ukraine,10/18/10
Cruz Barrios,M,88.4,90,190,160,210,Venezuela,10/18/10
Artem Tsepelev,M,85.7,90,205,150,190,Russia,10/18/10
Sergey Mikhalev #1,M,99.5,100,310,210,270,Russia,10/18/10
Rohan Ahmadi,M,99.6,100,307.5,185,255,Iran,10/18/10
Luis Guevara,M,93.2,100,170,130,202.5,Venezuela,10/18/10
McGregor Webb,M,99.2,100,142.5,92.5,190,Trinidad and Tobago,10/18/10
Denis Druzinin,M,108.5,110,305,215,281,Russia,10/18/10
Allen Dingle,M,101.1,110,230,130,220,South Africa,10/18/10
Dursun Hayran,M,102.6,110,175,105,222.5,Turkey,10/18/10
Ayhan Guison,M,100.3,110,140,120,200,Turkey,10/18/10
Vitaly Mayer,M,111.3,125,290,250,240,Russia,10/18/10
Esmaeel Ranjbar,M,125.6,125+,325,187.5,280,Iran,10/18/10
Vitalii Ostrovskyi,M,126.7,125+,310,195,270,Ukraine,10/18/10
Abolfazl Mossavi Seyed,M,142,125+,285,190,265,Iran,10/18/10
Selahattin Acokgoz,M,162.4,125+,160,90,180,Turkey,10/18/10
Evgen Babenko,M,59,60,190,115,205,Ukraine,10/18/10
Pavel Pokrovsky,M,59.5,60,170,120,175,Russia,10/18/10
Sajjad Khaledan,M,55.8,56,200,125,190,Iran,10/18/10
Iurii Romaniuk,M,66.5,67.5,185,130,220,Ukraine,10/18/10
Volodymyr Dranyy,M,55.3,56,150,100,200,Ukraine,10/18/10
Hector Pava,M,65.2,67.5,165,90,180,Venezuela,10/18/10
Murat Yildirim,M,58.3,60,120,80,160,Turkey,10/18/10
Lokman Artan,M,58.7,60,100,90,130,Turkey,10/18/10
Sergey Mikhalev #1,M,99.5,100,310,210,270,Russia,10/18/10
Esmaeel Ranjbar,M,125.6,125+,325,187.5,280,Iran,10/18/10
Vadym Grechko,M,71.5,75,242.5,135,232.5,Ukraine,10/18/10
Ahad Javaheri,M,74,75,230,140,250,Iran,10/18/10
Artem Tsepelev,M,85.7,90,205,150,190,Russia,10/18/10
Seyed Hadi Hosseini Pirkoohi,M,65.7,67.5,230,135,202.5,Iran,10/18/10
Anatoliy Hrechko,M,81.6,82.5,240,145,240,Ukraine,10/18/10
Roberto Souza,M,59,60,145,105,195,Brazil,10/18/10
Viktor Drovosekov,M,80.8,82.5,180,125,240,Russia,10/18/10
Senani Ekici,M,66.5,67.5,140,97.5,170,Turkey,10/18/10
Ricardo Olivera,M,89.2,90,270,145,240,Brazil,10/18/10
Selahattin Acokgoz,M,162.4,125+,160,90,180,Turkey,10/18/10
Cruz Barrios,M,88.4,90,190,160,210,Venezuela,10/18/10
Angel Rojas,M,80.3,82.5,220,105,192.5,Venezuela,10/18/10
Olena Mazurova,F,48.8,52,110,52.5,110,Ukraine,4/7/08
Vasylysa Kozyreva,F,54.7,56,110,60,125,Ukraine,4/7/08
Sunny Aparece,F,48.7,52,37.5,25,62.5,USA,4/7/08
Olena Mazurova,F,48.8,52,110,52.5,110,Ukraine,4/7/08
Vasylysa Kozyreva,F,54.7,56,110,60,125,Ukraine,4/7/08
Sunny Aparece,F,48.7,52,37.5,25,62.5,USA,4/7/08
Halyna Halinska,F,58.8,60,120,60,150,Ukraine,4/7/08
Svetlana Akhmetova,F,66.9,67.5,120,70,130,Russia,4/7/08
Elena Korotkova,F,60.8,67.5,105,60,122.5,Russia,4/7/08
Roman Kurov,M,59.8,60,200,120,211,Ukraine,4/7/08
Oleksandr Stolnykov,M,81.4,82.5,225,160,220,Ukraine,4/7/08
Volodymye Dranyy,M,55.8,56,160,100,185,Ukraine,4/7/08
Vadym Grechko,M,66.8,67.5,205,110,205,Ukraine,4/7/08
Roman Nabukhotnyy,M,72.3,75,180,152.5,190,Ukraine,4/7/08
Kevin Brousard,M,109.8,110,147.5,117.5,172.5,USA,4/7/08
Jacob Hendee,M,46.2,56,62.5,35,97.5,USA,4/7/08
Tyler Shepard,M,63.5,67.5,62.5,45,82.5,USA,4/7/08
Anatoliy Hrechko,M,85.5,90,250,155,260,Ukraine,4/7/08
Carlos Green,M,123.4,125,277.5,180,287.5,Trinidad and Tobago,4/7/08
Cody Calchoda,M,109.7,110,250,197.5,255,USA,4/7/08
Omar Sanchez,M,143.8,125+,255,222.5,252.5,USA,4/7/08
Vladimir Solyenkov,M,111.1,125,235,213.5,235,Russia,4/7/08
Jiří Janoušek,M,82.2,82.5,190,120,242.5,Czechia,4/7/08
Luis Garcias,M,83,90,195,140,185,Venezuela,4/7/08
Barrios Cruz,M,88.7,90,205,155,202.5,Venezuela,4/7/08
Angel Rojas,M,81.5,82.5,205,125,190,Venezuela,4/7/08
Volodymye Dranyy,M,55.8,56,160,100,185,Ukraine,4/7/08
Jacob Hendee,M,46.2,56,62.5,35,97.5,USA,4/7/08
Roman Kurov,M,59.8,60,200,120,211,Ukraine,4/7/08
Vadym Grechko,M,66.8,67.5,205,110,205,Ukraine,4/7/08
Evgeny Golovko,M,66.8,67.5,155,130,165,Russia,4/7/08
Tyler Shepard,M,63.5,67.5,62.5,45,82.5,USA,4/7/08
Roman Nabukhotnyy,M,72.3,75,180,152.5,190,Ukraine,4/7/08
Vladimir Prochenko,M,73.9,75,160,130,182.5,Russia,4/7/08
Sergey Shatalov,M,82.3,82.5,275,191,260,Russia,4/7/08
Oleksandr Stolnykov,M,81.4,82.5,225,160,220,Ukraine,4/7/08
Jiří Janoušek,M,82.2,82.5,190,120,242.5,Czechia,4/7/08
Angel Rojas,M,81.5,82.5,205,125,190,Venezuela,4/7/08
Alexey Mukhametov,M,89.1,90,260,150,267.5,Russia,4/7/08
Anatoliy Hrechko,M,85.5,90,250,155,260,Ukraine,4/7/08
Barrios Cruz,M,88.7,90,205,155,202.5,Venezuela,4/7/08
Luis Garcias,M,83,90,195,140,185,Venezuela,4/7/08
Igor Baskakov,M,90.2,100,275,187.5,256.5,Russia,4/7/08
Steve Peña #1,M,97.7,100,210,205,227.5,USA,4/7/08
Adam Burry,M,90.8,100,190,135,200,Canada,4/7/08
Roland Mitterlehner,M,100.9,110,267.5,210,257.5,Austria,4/7/08
Vitaly Mayer,M,105.3,110,265,210,240,Russia,4/7/08
Cody Calchoda,M,109.7,110,250,197.5,255,USA,4/7/08
Kevin Brousard,M,109.8,110,147.5,117.5,172.5,USA,4/7/08
Carlos Green,M,123.4,125,277.5,180,287.5,Trinidad and Tobago,4/7/08
Tim Ekert,M,111.2,125,240,207.5,237.5,Canada,4/7/08
Vladimir Solyenkov,M,111.1,125,235,213.5,235,Russia,4/7/08
Omar Sanchez,M,143.8,125+,255,222.5,252.5,USA,4/7/08
Kris Scheppe,M,51.3,52,77.5,70,117.5,USA,4/1/99
Nov Gnik,M,57.6,60,122.5,57.5,167.5,USA,4/1/99
Vince Wyseman,M,66.9,67.5,55,50,95,Canada,4/1/99
Adam Bury,M,73.5,75,125,92.5,182.5,Canada,4/1/99
Todd Fayta,M,73.5,75,100,82.5,157.5,USA,4/1/99
Ferdinand Pesendörfer,M,80.6,82.5,260,145,270,Austria,4/1/99
Rafael Ledesma,M,82.3,82.5,185,115,205,Spain,4/1/99
Harrie Cupen,M,83.1,90,200,145,232.5,Netherlands,4/1/99
Robert Truchon,M,89.6,90,200,152.5,220,Canada,4/1/99
Leal Sylvester,M,89.9,90,200,112.5,217.5,USA,4/1/99
Rod Barkley,M,83.4,90,160,90,220,Canada,4/1/99
Andres Galvez,M,99.8,100,210,142.5,205,Spain,4/1/99
Ron Carrich,M,97,100,185,167.5,192.5,USA,4/1/99
Anthony Young #1,M,109,110,240,140,250,Australia,4/1/99
Tim Ekert,M,106.2,110,175,152.5,180,Canada,4/1/99
Cody Colchado,M,113.3,125,227.5,170,205,USA,4/1/99
Michael LaRoche,M,81.9,82.5,175,117.5,190,Canada,4/1/99
Ralph Bergland,M,79.5,82.5,102.5,62.5,150,Canada,4/1/99
Raymond Villeneuve,M,104,110,175,135,200,Canada,4/1/99
Edie Jones,F,54.7,56,55,47.5,82.5,USA,4/1/99
Kathy Martinez,F,73.2,75,102.5,80,102.5,USA,4/1/99
Asya Miller,F,76.6,82.5,80,57.5,117.5,USA,4/1/99
Sarah Thompson,F,70.2,75,52.5,32.5,92.5,Canada,4/1/99
Michael Walker #5,M,74.03,75,145.15,77.11,145.15,USA,12/3/22
Parker Smith,M,82.28,82.5,272.16,170.1,233.6,USA,12/3/22
Jason Demos,M,101.33,110,226.8,138.35,226.8,USA,12/3/22
Colton Davis,M,,140+,199.58,142.88,238.14,USA,12/3/22
Lisa Zgutowicz,F,62.23,67.5,192.78,111.13,165.56,USA,12/3/22
Stanton Hathaway,M,116.75,118,184.61,102.06,214.55,USA,12/3/22
D'Anthony Davis,M,133.27,140,281.23,149.69,299.37,USA,12/3/22
Timothy Shea,M,136.35,140,299.37,204.12,299.37,USA,12/3/22
Joe Vayda,M,107.68,110,272.16,151.95,249.48,USA,12/3/22
Greg Hinds,M,108.32,110,226.8,158.76,240.4,USA,12/3/22
Jacob Anderson,M,89.72,90,294.84,213.19,244.94,USA,12/3/22
Joseph Solis,M,108.68,110,254.01,172.37,281.23,USA,12/3/22
Mason White #2,M,124.74,125,263.08,156.49,215.46,USA,12/3/22
Mark Clark,M,126.28,140,365.14,204.12,317.51,USA,12/3/22
Billy Sigrest,M,99.79,100,290.3,188.24,204.12,USA,12/3/22
Ben Mathews,M,121.56,125,278.96,204.12,294.84,USA,12/3/22
Wesley McClure,M,86.82,90,192.78,136.08,240.4,USA,12/3/22
Lane Vayda,M,75.02,82.5,206.38,95.25,201.85,USA,12/3/22
Rusty North,M,88,90,226.8,120.2,197.31,USA,12/3/22
Cory Lafollette,M,90.49,100,183.7,147.42,204.12,USA,12/3/22
William VanSickle,M,107.23,110,167.83,124.74,195.04,USA,12/3/22
Erik Heitter,M,97.34,100,181.44,170.1,215.46,USA,12/3/22
Jimmy Bishop #1,M,98.79,100,170.1,86.18,174.63,USA,12/3/22
Thomas Snellings,M,104.14,110,206.38,147.42,238.14,USA,12/3/22
Landon Courtney,M,81.65,82.5,149.69,72.57,170.1,USA,12/3/22
Carolyn Dickson,F,66.22,67.5,124.74,88.45,142.88,USA,12/3/22
Stephanie Braz,F,63.05,67.5,108.86,72.57,147.42,USA,12/3/22
Eli Johnson,M,64.86,67.5,106.59,90.72,117.93,USA,12/3/22
Michael Cantrell,M,114.76,118,147.42,117.93,145.15,USA,12/3/22
Imelda Flanagan,F,41.6,44,70,37.5,105,England,11/12/11
Judy Gedney,F,43.9,44,65,50,95,USA,11/12/11
Hayley Rutherford,F,46.8,47.5,62.5,35.5,82.5,Scotland,11/12/11
Sharon McGee,F,48.6,50.5,37.5,40,87.5,UK,11/12/11
Maruska Bertoli,F,51.2,53,105,60,125,Italy,11/12/11
Louise Fox,F,53.4,55.5,106,70,160,England,11/12/11
Rose Lozano,F,55.5,55.5,100,60,137.5,France,11/12/11
Tanya Harrington,F,55,55.5,100,52.5,127.5,Australia,11/12/11
Helen Wuyts,F,56.6,58.5,122.5,72.5,180,Belgium,11/12/11
Rosimery Lima Gallo,F,58.2,58.5,122.5,70,152.5,England,11/12/11
Sue Bethell,F,55.6,58.5,75,47.5,125,Wales,11/12/11
Orla Smith,F,57,58.5,65,55,115,Ireland,11/12/11
Véronique Bourdon,F,60.8,63,100,72.5,145,France,11/12/11
Sophie Whitefield,F,62.9,63,87.5,55,120,England,11/12/11
Louise Mather,F,68.2,70,115,62.5,167.5,Scotland,11/12/11
Evelyn Stevenson,F,68.4,70,120,72.5,140,England,11/12/11
Jo Gaskin,F,67.3,70,105,47.5,140,Scotland,11/12/11
Teresa Loi,F,64.8,70,87.5,68,132.5,Italy,11/12/11
Teresa Loi,F,64.8,70,87.5,68,132.5,Italy,11/12/11
Deniz Akin,F,63.9,70,90,65,105,England,11/12/11
Amy Broomhead,F,64.2,70,90,47.5,105,England,11/12/11
Mary Anderson,F,75.4,80,147.5,92.5,190,Scotland,11/12/11
Shachar Head,F,78.5,80,125.5,75,145,England,11/12/11
Shasha Bowers,F,72.1,80,82.5,45,107.5,England,11/12/11
Gabrielle Bennett,F,85.3,90,122.5,60,150,England,11/12/11
Johnathan Wrenn,M,50.8,52,142.5,90,160,USA,11/12/11
Vepa Nurnazarov,M,51.2,52,125,92.5,176,Turkmenistan,11/12/11
Ryan Rutherford,M,54.9,56,72.5,40,95,Scotland,11/12/11
William O'Dwyer,M,58.3,60,107.5,55,125,Ireland,11/12/11
Ivan Milanesi,M,65.5,67.5,145,120,225,Italy,11/12/11
Paul Richards,M,66.5,67.5,165,110,215,England,11/12/11
Sean Donelon,M,67,67.5,150,95,220,Ireland,11/12/11
Serghei Teliucov,M,65.4,67.5,172.5,105,180,Moldova,11/12/11
Kris Boyce,M,65.9,67.5,140,115,180,UK,11/12/11
Dean Davidson,M,66.6,67.5,142.5,95,190,England,11/12/11
David Aikman,M,66.6,67.5,135,105,185,Scotland,11/12/11
Andrea O'Farrell,M,61,67.5,135,90,170,Ireland,11/12/11
Jake Gill,M,66.5,67.5,122.5,80,190,Ireland,11/12/11
Fraser Gordon,M,64.4,67.5,130,90,160,Scotland,11/12/11
Martin Godden,M,66,67.5,97.5,75,140,England,11/12/11
Sam Dew,M,74,75,200,150,230,Wales,11/12/11
Sam Dew,M,74,75,200,150,230,Wales,11/12/11
Bart Hallewaert,M,74.4,75,182.5,135,235,Belgium,11/12/11
Charles Degiorgio,M,71.6,75,180,117.5,230,Malta,11/12/11
Charles Degiorgio,M,71.6,75,180,117.5,230,Malta,11/12/11
John Carroll,M,73.3,75,155,127.5,217.5,Ireland,11/12/11
Ahmet Gurbanov,M,71.7,75,180,110,200,Turkmenistan,11/12/11
Michael Marcinkowski,M,70.8,75,151,95,226,Canada,11/12/11
Michael Ferguson #2,M,71.5,75,150,100,217.5,Scotland,11/12/11
Dessie Hughes,M,72.7,75,160,115,190,Ireland,11/12/11
Haleem Khalil,M,73.4,75,140,110,205,England,11/12/11
Haleem Khalil,M,73.4,75,140,110,205,England,11/12/11
Jean-Claude D'Heilly,M,74.1,75,127.5,110,200,France,11/12/11
Dave Fitzpatrick,M,72.1,75,155,97.5,182.5,Ireland,11/12/11
Sammy Wasson,M,74.8,75,140,112.5,180,Ireland,11/12/11
Robert S Herbst,M,74,75,127.5,117.5,185,USA,11/12/11
Peter Roberts,M,72.3,75,150,105,170,England,11/12/11
Pietro Donati,M,71.2,75,125,115,170,Italy,11/12/11
Trevor Harvey,M,72.4,75,95,65,150,UK,11/12/11
Paul McCaffrey,M,81.6,82.5,230,137.5,260,England,11/12/11
Alexander Tosh,M,81.7,82.5,195,160,250,England,11/12/11
Jack Long,M,79.5,82.5,200,145,255,England,11/12/11
Alberto Ermoli,M,81.2,82.5,202.5,145,245,Italy,11/12/11
Pascal Mauhourat,M,81.7,82.5,195,120,260,France,11/12/11
Martin Smith #1,M,80.1,82.5,180,140,225,England,11/12/11
Baljit Cheema,M,80.9,82.5,165,122.5,230,England,11/12/11
Ivan O Connor,M,82.2,82.5,170,120,220,Ireland,11/12/11
Doug Harney,M,82.5,82.5,180,102.5,227.5,USA,11/12/11
Riccardo Brancato,M,79.7,82.5,170,130,200,Switzerland,11/12/11
Raymond Butler,M,78.7,82.5,167.5,110,220,Ireland,11/12/11
Robert Carr,M,79.1,82.5,170,100,220,Ireland,11/12/11
Les Attewell,M,80.9,82.5,160,110,220,England,11/12/11
Darrel Thompson,M,81.1,82.5,150,135,205,UK,11/12/11
Tudor Moraru,M,78.2,82.5,167.5,105,205,Moldova,11/12/11
Morgan McKee,M,80.1,82.5,155,105,200,UK,11/12/11
Carlo Mulatero,M,77,82.5,140,110,182.5,Italy,11/12/11
David Freeman,M,75.2,82.5,135,90,170,England,11/12/11
Frances Spiteri,M,79.1,82.5,142.5,70,180,Malta,11/12/11
Richard Hill,M,80.8,82.5,212.5,127.5,247.5,England,11/12/11
Joanathan Mogford,M,88.3,90,200,140,260,Wales,11/12/11
Julian Fernandez,M,89.3,90,205,115,280.5,England,11/12/11
Artjom Korotkov,M,89.4,90,180,140,240,Estonia,11/12/11
David Shamhalyan,M,88.7,90,160,152.5,225,Turkmenistan,11/12/11
Vladimir Toropov,M,87,90,190,130,210,Estonia,11/12/11
Shatlyk Rahmanov,M,89.8,90,185,125,215,Turkmenistan,11/12/11
Peter Van Merkom,M,87.1,90,170,150,180,UK,11/12/11
Alex Hughes,M,90,90,125,67.5,155,England,11/12/11
Henry Tosh,M,100,100,230,190,310,England,11/12/11
Ramon Gysin,M,99.9,100,255,150,270,Switzerland,11/12/11
Sam Goodall,M,94.1,100,245,135,290,England,11/12/11
Brett Le Cras,M,100,100,225,132.5,310,England,11/12/11
Terry Jex,M,99,100,220,147.5,282.5,England,11/12/11
Andrea Ravasi,M,90.5,100,225,165,245,Italy,11/12/11
Aaron Hull,M,96.6,100,220,190,220,England,11/12/11
Aaron Hull,M,96.6,100,220,190,220,England,11/12/11
Michael Goodwin,M,97.5,100,217.5,160,240,England,11/12/11
Gilles Rondeaux,M,95.1,100,215,165,232.5,France,11/12/11
Aleksei Zuravljov,M,94.4,100,195,140,250,Estonia,11/12/11
Dave Mansfield,M,97.5,100,205,105,243,USA,11/12/11
Nathan Simmons,M,92,100,160,105,200,England,11/12/11
Nathan Simmons,M,92,100,160,105,200,England,11/12/11
Evgenii Tverdovskii,M,94.1,100,140,95,165,Russia,11/12/11
Alistair Murdoch,M,107.2,110,220,205,260,England,11/12/11
Kevin Dixon,M,106.1,110,240,150,250,Canada,11/12/11
Leslie Pilling,M,109.7,110,230,125,255,England,11/12/11
Tomas Cuddihy,M,109.3,110,200,142.5,240,Ireland,11/12/11
Laurence McConnell,M,101.2,110,220,140,220,UK,11/12/11
David Broomhead,M,106.3,110,200,145,235,England,11/12/11
John Gavin Walker,M,103.6,110,190,110,230,England,11/12/11
Peter Sutton #2,M,123.2,125,260,205,307.5,Wales,11/12/11
Mario Mifsud,M,121.4,125,250,177.5,326,Malta,11/12/11
James Hickey,M,112.5,125,250,165,305,Ireland,11/12/11
Karl Ramsbottom,M,117.7,125,250,175,250,England,11/12/11
Peter Sammes,M,119.6,125,227.5,145,250,England,11/12/11
Arvet Heinsoo,M,112.8,125,195,155,240,Estonia,11/12/11
Jonathan Cathcart,M,118.7,125,170,150,240,UK,11/12/11
Raymond J Clasing,M,124.2,125,172.5,175,205,USA,11/12/11
John O'Dwyer,M,123.2,125,180,160,190,Ireland,11/12/11
Robert Newman,M,128.8,145,220,165,265,UK,11/12/11
Judy Gedney,F,44,44,80,52.5,107.5,USA,11/12/11
Helen Wuyts,F,56.6,58.5,150,85,182.5,Belgium,11/12/11
Rosimery Lima Gallo,F,58.3,58.5,155,87.5,160,England,11/12/11
Janet Scott,F,55.8,58.5,92.5,53,115,England,11/12/11
Mary Anderson,F,76.6,80,195,115,217.5,Scotland,11/12/11
Shasha Bowers,F,72,80,125,50,110,England,11/12/11
Ted Brown,M,59.8,60,107.5,85,145,England,11/12/11
Paul Rutherford,M,67.1,67.5,190,128,200,Scotland,11/12/11
Scott Mc Arthur,M,67.4,67.5,160,120,220,England,11/12/11
Serghei Teliucov,M,65.4,67.5,170,105,175,Moldova,11/12/11
Vincenzo Tidona,M,66.6,67.5,150,90,170,France,11/12/11
Indra Sudarminto,M,74.1,75,265,150,270,Belgium,11/12/11
Dean Mikosz,M,74,75,255,162.5,215,England,11/12/11
Bernie McGurk,M,73.9,75,220,135,250,Scotland,11/12/11
Ahmet Gurbanov,M,71.7,75,235.5,140,210,Turkmenistan,11/12/11
Andy Shipway,M,74.7,75,205,145,200,England,11/12/11
Daniel McKeen,M,72.6,75,180,132.5,217.5,UK,11/12/11
Henry Clark,M,74,75,135,55,150,England,11/12/11
William Brown #1,M,81.7,82.5,285,165,290,Scotland,11/12/11
Richard Crossland,M,81.9,82.5,250,180,260,England,11/12/11
Russell Bain,M,81,82.5,232.5,150,242.5,England,11/12/11
Martin Smith #1,M,79.3,82.5,200,155,230,England,11/12/11
Darren Bell,M,81.2,82.5,235,122.5,222.5,Scotland,11/12/11
Neil Abery,M,87.2,90,295,180,260,England,11/12/11
Benny Verbeke,M,88.8,90,250,145,292.5,Belgium,11/12/11
Kristian Mintoff,M,87.4,90,235,150,255,Malta,11/12/11
Kristian Mintoff,M,87.4,90,235,150,255,Malta,11/12/11
Shatlyk Rahmanov,M,90,90,250,140,200,Turkmenistan,11/12/11
Arthur Cowley,M,99.2,100,287.5,195,267.5,Scotland,11/12/11
Stephen Welch,M,98.2,100,277.5,172.5,250,USA,11/12/11
Martin Russel,M,96.3,100,200,175,255,England,11/12/11
James Bell,M,99.1,100,237.5,132.5,220,USA,11/12/11
Simon Marshall,M,105.8,110,310,245.5,312.5,USA,11/12/11
Alexey Kashirin,M,104.1,110,320,235,300,Russia,11/12/11
Mark Norton,M,107.4,110,327.5,232.5,265,England,11/12/11
Leslie Pilling,M,110,110,260.5,155,280.5,England,11/12/11
Gordon Sykes,M,108.6,110,230,147.5,270,England,11/12/11
Joël Godon,M,108.8,110,230,155,255,France,11/12/11
Ricky Mullan,M,123.5,125,325,215,295,Ireland,11/12/11
Martin Cerns,M,119.6,125,307.5,205,275,England,11/12/11
Francesco Natalizi,M,118.1,125,260,110,220,Italy,11/12/11
Roy Olsen,M,121.9,125,180,185,220,England,11/12/11
Maxim Tikhonov,M,126.5,145,337.5,225,270,Russia,11/12/11
Angela Taylor #1,F,69.9,70,92.5,77.5,117.5,England,11/2/13
Neil Cook #1,M,59.6,60,140,100,185,England,11/2/13
Sam Dew,M,81.9,82.5,240,150,250,Wales,11/2/13
Reece Meakin,M,81.3,82.5,212.5,157.5,257.5,England,11/2/13
Kevin Kavanagh,M,88.3,90,185,130,220,England,11/2/13
Jay Hollingsworth,M,122.5,125,272.5,200,320,England,11/2/13
Eddie White,M,80,82.5,182.5,125,272.5,USA,11/2/13
Angela Taylor #1,F,69.9,70,92.5,77.5,117.5,England,11/2/13
Neil Cook #1,M,59.6,60,140,100,185,England,11/2/13
