c,Sex,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,Country,Date
Cyrus Cordero,M,54.88,56,62.5,62.5,92.5,USA,11/1/08
Jim Marchio,M,59.87,60,125,92.5,200,USA,11/1/08
Dan Carpenter,M,59.42,60,160,112.5,210,USA,11/1/08
Jerry Moylan,M,65.41,67.5,137.5,90,180,USA,11/1/08
Paul Griffith,M,67.13,67.5,135,70,167.5,USA,11/1/08
Justin Tripodi,M,65.95,67.5,140,140,217.5,USA,11/1/08
Lance Pototschnik,M,67.04,67.5,170,102.5,200,USA,11/1/08
Justin Tripodi,M,65.95,67.5,140,140,217.5,USA,11/1/08
Lance Pototschnik,M,67.04,67.5,170,102.5,200,USA,11/1/08
David Wilson Jr,M,64.86,67.5,167.5,140,217.5,USA,11/1/08
David Wilson Jr,M,64.86,67.5,167.5,140,217.5,USA,11/1/08
Connor Dantzler,M,63.96,67.5,62.5,40,91,USA,11/1/08
Ruth Douglas #2,F,72.57,75,102.5,70,147.5,USA,11/1/08
Ruth Douglas #2,F,72.57,75,102.5,70,147.5,USA,11/1/08
Matt Baker,M,74.93,75,185,165,230,USA,11/1/08
George Pluhar,M,74.84,75,192,150,222.5,USA,11/1/08
William Lotter,M,73.48,75,160,115,212.5,USA,11/1/08
Ed Abromaitis,M,74.03,75,130,107.5,172.5,USA,11/1/08
Rich Hutchinson,M,74.03,75,160,92.5,192.5,USA,11/1/08
David Ruhl,M,81.83,82.5,180,112.5,200,USA,11/1/08
Michael Jones #15,M,80.1,82.5,162.5,75,170,USA,11/1/08
Victoria Vasquez,F,80.74,82.5,20,57.5,92.5,USA,11/1/08
Victoria Vasquez,F,80.74,82.5,20,57.5,92.5,USA,11/1/08
Evan Miller #2,M,80.83,82.5,162.5,167.5,242.5,USA,11/1/08
Evan Miller #2,M,80.83,82.5,162.5,167.5,242.5,USA,11/1/08
Sergey Dermeleva,M,85.28,90,220,150,260,Estonia,11/1/08
Chuck Miller,M,89.72,90,217.5,145,260,USA,11/1/08
Vadim Snitkovsky,M,86,90,147.5,120,212.5,USA,11/1/08
Tom Hughes,M,89.36,90,160,90,175,USA,11/1/08
Tom Hughes,M,89.36,90,160,90,175,USA,11/1/08
Kevin Chung,M,89.58,90,130,92.5,175,USA,11/1/08
William Tazwell IV,M,87.54,90,185,182.5,227.5,USA,11/1/08
Stan Chikando,M,97.61,100,192.5,157.5,267.5,USA,11/1/08
James Card,M,98.7,100,185,160,212.5,USA,11/1/08
Art Martin,M,97.16,100,192.5,102.5,205,USA,11/1/08
Lenny Creatura,M,93.71,100,250,167.5,250,USA,11/1/08
Derek Willis,M,98.34,100,205,150,230,USA,11/1/08
Derek Willis,M,98.34,100,205,150,230,USA,11/1/08
Chris Kennedy #2,M,97.52,100,135,137.5,145,USA,11/1/08
Chris Kennedy #2,M,97.52,100,135,137.5,145,USA,11/1/08
Nick Arbia,M,105.6,110,197.5,157.5,242.5,USA,11/1/08
Tyler Waldron,M,104.24,110,195,125,205,USA,11/1/08
Gerald Burke,M,104.33,110,157.5,147.5,150,USA,11/1/08
Ira Brooks,M,107.77,110,125,120,182.5,USA,11/1/08
Ira Brooks,M,107.77,110,125,120,182.5,USA,11/1/08
Jim Perhach,M,116.57,125,62.5,62.5,270,USA,11/1/08
Darryl Crans,M,121.11,125,175,120,215,USA,11/1/08
Daniel Corridean,M,129.73,140,282.5,190,300,USA,11/1/08
Daniel Corridean,M,129.73,140,282.5,190,300,USA,11/1/08
Bradley Yonker,M,160.57,140+,235,160,277.5,USA,11/1/08
Kevin Prosser,M,152.41,140+,230,147.5,220,USA,11/1/08
Kevin Prosser,M,152.41,140+,230,147.5,220,USA,11/1/08
Beth-El Algarin,F,41.55,44.5,60,40,82.5,USA,10/2/10
Laurel Trail,F,46.04,48,50,37.5,93.5,USA,10/2/10
AJ Facendi,F,49.58,52,82.5,52.5,125,Canada,10/2/10
Michelle Watts,F,55.79,56,102.5,80,125,USA,10/2/10
Mike Burkeen,M,54.79,56,112.5,92.5,165,USA,10/2/10
Diane Brill,F,57.88,60,95,70,115,USA,10/2/10
Kyle Peach,M,58.42,60,65,45,95,USA,10/2/10
Tara Steadman,F,65.91,67.5,100,85,135,USA,10/2/10
Lindsey Brill,F,61.87,67.5,97.5,59,132.5,USA,10/2/10
Marrena Glanville,F,62.91,67.5,102.5,48.5,137,USA,10/2/10
Beth-El Algarin,F,41.55,44.5,60,40,82.5,USA,10/2/10
Laurel Trail,F,46.04,48,50,37.5,93.5,USA,10/2/10
AJ Facendi,F,49.58,52,82.5,52.5,125,Canada,10/2/10
Michelle Watts,F,55.79,56,102.5,80,125,USA,10/2/10
Mike Burkeen,M,54.79,56,112.5,92.5,165,USA,10/2/10
Diane Brill,F,57.88,60,95,70,115,USA,10/2/10
Kyle Peach,M,58.42,60,65,45,95,USA,10/2/10
Tara Steadman,F,65.91,67.5,100,85,135,USA,10/2/10
Lindsey Brill,F,61.87,67.5,97.5,59,132.5,USA,10/2/10
Marrena Glanville,F,62.91,67.5,102.5,48.5,137,USA,10/2/10
Jerry Moylan,M,65.77,67.5,135,82.5,170,USA,10/2/10
Justin Tripodi,M,65.82,67.5,142.5,137.5,220,USA,10/2/10
George James,M,67,67.5,160,100,207.5,USA,10/2/10
William DeVito,M,66.13,67.5,102.5,85,140,USA,10/2/10
Elias Sanchez,M,67.13,67.5,115,95,40,USA,10/2/10
Justin Tripodi,M,65.82,67.5,142.5,137.5,220,USA,10/2/10
George James,M,67,67.5,160,100,207.5,USA,10/2/10
William DeVito,M,66.13,67.5,102.5,85,140,USA,10/2/10
Elias Sanchez,M,67.13,67.5,115,95,40,USA,10/2/10
James Steffen,M,72.53,75,115,92.5,157.5,USA,10/2/10
Chris Ballance,M,72.67,75,201.5,133.5,255,USA,10/2/10
Chris Ballance,M,72.67,75,201.5,133.5,255,USA,10/2/10
Lance Pototschnik,M,73.03,75,202.5,117.5,217.5,USA,10/2/10
Nick Grant,M,70.58,75,157.5,120,215,USA,10/2/10
Zerek Renner,M,74.12,75,137.5,110,200,USA,10/2/10
Brian Torvinen,M,73.21,75,137.5,110,160,USA,10/2/10
Steve Callahan,M,72.44,75,127.5,105,145,USA,10/2/10
Randy Gonzales,M,74.53,75,105,95,155,USA,10/2/10
Tim Metcalf,M,72.76,75,97.5,107.5,142.5,USA,10/2/10
Chris Ballance,M,72.67,75,201.5,133.5,255,USA,10/2/10
Lance Pototschnik,M,73.03,75,202.5,117.5,217.5,USA,10/2/10
Nick Grant,M,70.58,75,157.5,120,215,USA,10/2/10
Zerek Renner,M,74.12,75,137.5,110,200,USA,10/2/10
Brian Torvinen,M,73.21,75,137.5,110,160,USA,10/2/10
Steve Callahan,M,72.44,75,127.5,105,145,USA,10/2/10
Randy Gonzales,M,74.53,75,105,95,155,USA,10/2/10
Tim Metcalf,M,72.76,75,97.5,107.5,142.5,USA,10/2/10
Miguel Reynoso,M,79.79,82.5,150,120,165,USA,10/2/10
Michael Milton,M,80.83,82.5,145,130,170,Canada,10/2/10
Tony Rodriguez #1,M,81.87,82.5,207.5,130,277.5,USA,10/2/10
Tony Rodriguez #1,M,81.87,82.5,207.5,130,277.5,USA,10/2/10
David Szymanski,M,79.38,82.5,207.5,132.5,265,USA,10/2/10
Travis Hlavka,M,79.79,82.5,192.5,112.5,235,USA,10/2/10
Aaron Trail,M,80.78,82.5,157.5,132.5,225,USA,10/2/10
William Deloney,M,79.88,82.5,135,127.5,167.5,USA,10/2/10
Tony Rodriguez #1,M,81.87,82.5,207.5,130,277.5,USA,10/2/10
David Szymanski,M,79.38,82.5,207.5,132.5,265,USA,10/2/10
Travis Hlavka,M,79.79,82.5,192.5,112.5,235,USA,10/2/10
Aaron Trail,M,80.78,82.5,157.5,132.5,225,USA,10/2/10
William Deloney,M,79.88,82.5,135,127.5,167.5,USA,10/2/10
Janine Wheeler,F,89.77,90,97.5,67.5,122.5,Canada,10/2/10
Jorge Gonzalez #3,M,89.22,90,210,160,227.5,USA,10/2/10
Nathanael Glines,M,87.14,90,217.5,153.5,300,USA,10/2/10
Nathanael Glines,M,87.14,90,217.5,153.5,300,USA,10/2/10
Chris Gallick,M,84.05,90,217.5,155,250,USA,10/2/10
Adam Price,M,89.99,90,215,147.5,232.5,Canada,10/2/10
Brian Trail,M,84.19,90,152.5,137.5,210,USA,10/2/10
Daniel Storm,M,83.14,90,167.5,97.5,220,USA,10/2/10
Garrett Smith,M,89.99,90,172.5,120,190,USA,10/2/10
William Farrell III,M,89.4,90,122.5,90,160,USA,10/2/10
Rowdy Payne,M,87.68,90,117.5,100,155,USA,10/2/10
Nathanael Glines,M,87.14,90,217.5,153.5,300,USA,10/2/10
Chris Gallick,M,84.05,90,217.5,155,250,USA,10/2/10
Adam Price,M,89.99,90,215,147.5,232.5,Canada,10/2/10
Brian Trail,M,84.19,90,152.5,137.5,210,USA,10/2/10
Daniel Storm,M,83.14,90,167.5,97.5,220,USA,10/2/10
Garrett Smith,M,89.99,90,172.5,120,190,USA,10/2/10
William Farrell III,M,89.4,90,122.5,90,160,USA,10/2/10
Rowdy Payne,M,87.68,90,117.5,100,155,USA,10/2/10
Ahmed Shafik,M,86.55,90,20,185,100,USA,10/2/10
Andrew Harding,M,97.39,100,142.5,100,187.5,Canada,10/2/10
Kelly Parrson,M,92.12,100,122.5,77.5,147.5,USA,10/2/10
Pierre Ngo,M,98.97,100,242.5,175,290,USA,10/2/10
John Sarginson,M,98.57,100,192.5,165,245,Canada,10/2/10
John Sarginson,M,98.57,100,192.5,165,245,Canada,10/2/10
Logan Kwiatkowski,M,99.88,100,210,152.5,240,Canada,10/2/10
Eric Tuthill,M,99.16,100,175,155,217.5,USA,10/2/10
Gavin Pehl,M,95.12,100,160,145,225,USA,10/2/10
Adam Zachary,M,96.48,100,125,115,170,India,10/2/10
John Sarginson,M,98.57,100,192.5,165,245,Canada,10/2/10
Logan Kwiatkowski,M,99.88,100,210,152.5,240,Canada,10/2/10
Eric Tuthill,M,99.16,100,175,155,217.5,USA,10/2/10
Gavin Pehl,M,95.12,100,160,145,225,USA,10/2/10
Adam Zachary,M,96.48,100,125,115,170,India,10/2/10
Shane Dixon,M,98.29,100,197.5,155,262.5,Canada,10/2/10
David Kraft,M,109.18,110,210,147.5,280,USA,10/2/10
Anthony Brill,M,107.59,110,230,150,272.5,USA,10/2/10
Anthony Brill,M,107.59,110,230,150,272.5,USA,10/2/10
Joseph Diancin,M,107.55,110,192.5,140,250,USA,10/2/10
Billy Ray Powell,M,100.33,110,62.5,137.5,142.5,USA,10/2/10
Billy Ray Powell,M,100.33,110,62.5,137.5,142.5,USA,10/2/10
Billy Ray Powell,M,100.33,110,62.5,137.5,142.5,USA,10/2/10
Austin Shipley,M,117.25,125,247.5,187.5,260,USA,10/2/10
Jimmy Doyle,M,110.86,125,230,157.5,275,USA,10/2/10
Steve Brown #8,M,117.16,125,195,160,227.5,USA,10/2/10
Michael Eaton,M,111.22,125,295,192.5,330,USA,10/2/10
Nate Butler,M,124.96,125,295,212.5,277.5,USA,10/2/10
Brad Lovejoy,M,113.58,125,185,155,210,USA,10/2/10
Brad Lovejoy,M,113.58,125,185,155,210,USA,10/2/10
Gene Lawrence,M,127.01,140,110,112.5,185,USA,10/2/10
Chad Larson,M,132.68,140,272.5,200,270,USA,10/2/10
Raymond Clasing Sr,M,126.87,140,182.5,125,182.5,USA,10/2/10
Raymond Clasing Sr,M,126.87,140,182.5,125,182.5,USA,10/2/10
Chad Larson,M,132.68,140,272.5,200,270,USA,10/2/10
Raymond Clasing Sr,M,126.87,140,182.5,125,182.5,USA,10/2/10
James Campbell,M,141.79,140+,115,72.5,145,USA,10/2/10
Daniel Corridean,M,139.93,140,285,182.5,277.5,USA,10/2/10
Joel Callison,M,165.79,140+,142.5,167.5,192.5,USA,10/2/10
Daniel Corridean,M,139.93,140,285,182.5,277.5,USA,10/2/10
Joel Callison,M,165.79,140+,142.5,167.5,192.5,USA,10/2/10
Hojjat Kijdehi,M,51.2,52,135,72.5,155,Iran,9/19/02
Seyed Hadi Hosseini,M,55.6,56,147.5,85,177.5,Iran,9/19/02
Oleg Chabachov,M,66.9,67.5,135,97.5,180,Russia,9/19/02
Hossein Mardan Pour,M,74.9,75,180,135,205,Iran,9/19/02
Rafael Ledezma,M,74.7,75,185,100,185,Spain,9/19/02
Vytautas Girnius,M,71.5,75,140,85,170,Lithuania,9/19/02
Luis Javier Rojas,M,69.9,75,100,70,175,Spain,9/19/02
Jiří Janoušek,M,81.4,82.5,220,125,250,Czechia,9/19/02
Marlon Lopez,M,75.9,82.5,140,122.5,205,USA,9/19/02
Alexei Moukhametov,M,89.6,90,235,145,247.5,Russia,9/19/02
Robert Truchon,M,89.6,90,182.5,142.5,195,Canada,9/19/02
Roland Mitterlehner,M,97.2,100,237.5,150,222.5,Austria,9/19/02
Vladimir Solyankov,M,98.2,100,210,170,222.5,Russia,9/19/02
Vitali Maier,M,95.3,100,210,135,212.5,Russia,9/19/02
Rolandas Urbonas,M,98.4,100,170,120,200,Lithuania,9/19/02
Cody Colchado,M,107.5,110,237.5,182.5,260,USA,9/19/02
Bobby Blackmon,M,102.8,110,192.5,142.5,182.5,USA,9/19/02
Anthony Young #1,M,124,125,250,150,265,Australia,9/19/02
Steve Brown #4,M,59.1,60,170,90,200,England,9/19/02
Ravkhat Atnabaev,M,74.5,75,140,95,180,Russia,9/19/02
Jamshid Mirshekari,M,96.1,100,230,147.5,230,Iran,9/19/02
Michael Elliott,M,99,100,195,125,190,USA,9/19/02
Nikolai Domratchev,M,108.4,110,200,130,205,Russia,9/19/02
Jahanbakhsh Askari Bezaye,M,123.6,125,235,150,240,Iran,9/19/02
Omar Sanchez,M,134.2,125+,215,182.5,227.5,USA,9/19/02
Kris Scheppe,M,51,52,75,72.5,117.5,USA,9/19/02
